generation, team A best, team A current, team B best, team B current, Dropped %
372, 0.2, 0.2, 0.2, 0.2, 0.0952381
373, 0.2, 0.2, 0.2, 0.2, 0.0952381
374, 0.2, 0.2, 0.2, 0.2, 0.0952381
375, 0.2, 0.2, 0.2, 0.2, 0.0952381
376, 0.2, 0.2, 0.2, 0.2, 0.0952381
377, 0.2, 0.2, 0.2, 0.2, 0.0952381
378, 0.2, 0.2, 0.2, 0.2, 0.0952381
379, 0.2, 0.2, 0.2, 0.2, 0.0952381
380, 0.2, 0.2, 0.2, 0.2, 0.0952381
381, 0.2, 0.2, 0.2, 0.2, 0.0952381
382, 0.2, 0.2, 0.2, 0.2, 0.0952381
383, 0.2, 0.2, 0.2, 0.2, 0.0952381
384, 0.2, 0.2, 0.2, 0.2, 0.0952381
385, 0.2, 0.2, 0.2, 0.2, 0.0952381
386, 0.2, 0.2, 0.2, 0.2, 0.0952381
387, 0.2, 0.2, 0.2, 0.2, 0.0952381
388, 0.2, 0.2, 0.2, 0.2, 0.0952381
389, 0.2, 0.2, 0.2, 0.2, 0.0952381
390, 0.2, 0.2, 0.2, 0.2, 0.0952381
391, 0.2, 0.2, 0.2, 0.2, 0.0952381
392, 0.2, 0.2, 0.2, 0.2, 0.0952381
393, 0.2, 0.2, 0.2, 0.2, 0.0952381
394, 0.2, 0.2, 0.2, 0.2, 0.0952381
395, 0.2, 0.2, 0.2, 0.2, 0.0952381
396, 0.2, 0.2, 0.2, 0.2, 0.0952381
397, 0.2, 0.2, 0.2, 0.2, 0.0952381
398, 0.2, 0.2, 0.2, 0.2, 0.0952381
399, 0.2, 0.2, 0.2, 0.2, 0.0952381
400, 0.2, 0.2, 0.2, 0.2, 0.0952381
401, 0.2, 0.2, 0.2, 0.2, 0.0952381
402, 0.2, 0.2, 0.2, 0.2, 0.0952381
403, 0.2, 0.2, 0.2, 0.2, 0.0952381
404, 0.2, 0.2, 0.2, 0.2, 0.0952381
405, 0.2, 0.2, 0.2, 0.2, 0.0952381
406, 0.2, 0.2, 0.2, 0.2, 0.0952381
407, 0.2, 0.2, 0.2, 0.2, 0.0952381
408, 0.2, 0.2, 0.2, 0.2, 0.0952381
409, 0.2, 0.2, 0.2, 0.2, 0.0952381
410, 0.2, 0.2, 0.2, 0.2, 0.0952381
411, 0.2, 0.2, 0.2, 0.2, 0.0952381
412, 0.2, 0.2, 0.2, 0.2, 0.0952381
413, 0.2, 0.2, 0.2, 0.2, 0.0952381
414, 0.2, 0.2, 0.2, 0.2, 0.0952381
415, 0.2, 0.2, 0.2, 0.2, 0.0952381
416, 0.2, 0.2, 0.2, 0.2, 0.0952381
417, 0.2, 0.2, 0.2, 0.2, 0.0952381
418, 0.2, 0.2, 0.2, 0.2, 0.0952381
419, 0.2, 0.2, 0.2, 0.2, 0.0952381
420, 0.2, 0.2, 0.2, 0.2, 0.0952381
421, 0.2, 0.2, 0.2, 0.2, 0.0952381
422, 0.2, 0.2, 0.2, 0.2, 0.0952381
423, 0.2, 0.2, 0.2, 0.2, 0.0952381
424, 0.2, 0.2, 0.2, 0.2, 0.0952381
425, 0.2, 0.2, 0.2, 0.2, 0.0952381
426, 0.2, 0.2, 0.2, 0.2, 0.0952381
427, 0.2, 0.2, 0.2, 0.2, 0.0952381
428, 0.2, 0.2, 0.2, 0.2, 0.0952381
429, 0.2, 0.2, 0.2, 0.2, 0.0952381
430, 0.2, 0.2, 0.2, 0.2, 0.0952381
431, 0.2, 0.2, 0.2, 0.2, 0.0952381
432, 0.2, 0.2, 0.2, 0.2, 0.0952381
433, 0.2, 0.2, 0.2, 0.2, 0.0952381
431, 0.2, 1.20000000596046, 0.2, 100000000, 0.0952381
432, 0.2, 1.20000000596046, 0.2, 0.2, 0.0952381
433, 0.2, 0.300000001490116, 0.2, 0.2, 0.0952381
434, 0.2, 0.300000001490116, 0.2, 0.2, 0.0952381
435, 0.2, 0.300000001490116, 0.2, 0.2, 0.0952381
436, 0.2, 0.300000001490116, 0.2, 0.2, 0.0952381
437, 0.2, 0.2, 0.2, 0.2, 0.0952381
438, 0.2, 0.2, 0.2, 0.2, 0.0952381
439, 0.2, 0.300000001490116, 0.2, 0.2, 0.0952381
440, 0.2, 0.300000001490116, 0.2, 0.2, 0.0952381
441, 0.2, 0.2, 0.2, 0.2, 0.0952381
442, 0.2, 0.2, 0.2, 0.2, 0.0952381
443, 0.2, 0.2, 0.2, 0.2, 0.0952381
444, 0.2, 0.2, 0.2, 0.2, 0.0952381
445, 0.2, 0.2, 0.2, 0.2, 0.0952381
446, 0.2, 0.2, 0.2, 0.2, 0.0952381
447, 0.2, 0.2, 0.2, 0.2, 0.0952381
448, 0.2, 0.2, 0.2, 0.2, 0.0952381
449, 0.2, 0.2, 0.2, 0.2, 0.0952381
450, 0.2, 0.2, 0.2, 0.2, 0.0952381
451, 0.2, 0.2, 0.2, 0.2, 0.0952381
452, 0.2, 0.2, 0.2, 0.2, 0.0952381
453, 0.2, 0.2, 0.2, 0.2, 0.0952381
454, 0.2, 0.2, 0.2, 0.2, 0.0952381
455, 0.2, 0.2, 0.2, 0.2, 0.0952381
456, 0.2, 0.2, 0.2, 0.2, 0.0952381
457, 0.2, 0.2, 0.2, 0.2, 0.0952381
458, 0.2, 0.2, 0.2, 0.2, 0.0952381
459, 0.2, 0.2, 0.2, 0.2, 0.0952381
460, 0.2, 0.2, 0.2, 0.2, 0.0952381
461, 0.2, 0.2, 0.2, 0.2, 0.0952381
462, 0.2, 0.2, 0.2, 0.2, 0.0952381
463, 0.2, 0.2, 0.2, 0.2, 0.0952381
464, 0.2, 0.2, 0.2, 0.2, 0.0952381
465, 0.2, 0.2, 0.2, 0.2, 0.0952381
466, 0.2, 0.2, 0.2, 0.2, 0.0952381
467, 0.2, 0.2, 0.2, 0.2, 0.0952381
468, 0.2, 0.2, 0.2, 0.2, 0.0952381
469, 0.2, 0.2, 0.2, 0.2, 0.0952381
470, 0.2, 0.2, 0.2, 0.2, 0.0952381
